Node
"('P60660', 'P05777')"
"('P60660', 'P49755')"
"('P60660', 'P04075')"
"('P60660', 'Q96SB4')"
"('P60660', 'P31948')"
"('P60660', 'P46782')"
"('P60660', 'Q9NRN7')"
"('P60660', 'Q9Y383')"
"('P60660', 'Q13310')"
"('P60660', 'P06493')"
"('P60660', 'P11387')"
"('P60660', 'P62140')"
"('P60660', 'Q9NZ01')"
"('P60660', 'P06576')"
"('P60660', 'O15371')"
"('P60660', 'Q9UBX3')"
"('P60660', 'Q14315')"
"('P60660', 'P26599')"
"('P60660', 'O00303')"
"('P60660', 'Q86UE4')"
"('P60660', 'P61026')"
"('P60660', 'P27824')"
"('P60660', 'P42677')"
"('P60660', 'P35998')"
"('P60660', 'P50990')"
"('P60660', 'O95757')"
"('P60660', 'P08708')"
"('P60660', 'Q13243')"
"('P60660', 'Q07021')"
"('P60660', 'Q5H9R7')"
"('P60660', 'Q13283')"
"('P60660', 'P11021')"
"('P60660', 'P34932')"
"('P60660', 'P62269')"
"('P60660', 'Q9BRK5')"
"('P60660', 'Q9Y265')"
"('P60660', 'P25789')"
"('P60660', 'P41091')"
"('P60660', 'P04406')"
"('P60660', 'P50402')"
"('P60660', 'P39656')"
"('P60660', 'P62195')"
"('P60660', 'Q9NP72')"
"('P60660', 'O94973')"
"('P60660', 'Q13347')"
"('P60660', 'Q16875')"
"('P60660', 'P48643')"
"('P60660', 'Q15008')"
"('P60660', 'Q05639')"
"('P60660', 'Q9BUQ8')"
"('P60660', 'Q8NC51')"
"('P60660', 'P38159')"
"('P60660', 'Q15293')"
"('P60660', 'P15311')"
"('P60660', 'P26038')"
"('P60660', 'P08865')"
"('P60660', 'Q6PKG0')"
"('P60660', 'Q99615')"
"('P60660', 'Q8N1F7')"
"('P60660', 'Q9UN86')"
"('P60660', 'Q96C19')"
"('P60660', 'Q92900')"
"('P60660', 'Q00325')"
"('P60660', 'Q14257')"
"('P60660', 'Q02978')"
"('P60660', 'P78362')"
"('P60660', 'Q9BZE4')"
"('P60660', 'P31689')"
"('P60660', 'Q7KZF4')"
"('P60660', 'P11940')"
"('P60660', 'Q7L2H7')"
"('P60660', 'Q15365')"
"('P60660', 'Q9UNM6')"
"('P60660', 'O75506')"
"('P60660', 'P62820')"
"('P60660', 'Q9NR30')"
"('P60660', 'P50991')"
"('P60660', 'P51148')"
"('P60660', 'Q92974')"
"('P60660', 'P25705')"
"('P60660', 'P20339')"
"('P60660', 'O43795')"
"('P60660', 'P57088')"
"('P60660', 'Q03135')"
"('P60660', 'P62191')"
"('P60660', 'O75688')"
"('P60660', 'Q9NVI7')"
"('P60660', 'O95831')"
"('P60660', 'Q01813')"
"('P60660', 'O43852')"
"('P60660', 'P60660')"
"('P60660', 'P35606')"
"('P60660', 'P51665')"
"('P60660', 'Q99613')"
"('P60660', 'Q16576')"
"('P60660', 'Q13151')"
"('P60660', 'Q16891')"
"('P60660', 'P78527')"
"('P60660', 'P07355')"
"('P60660', 'Q96EY1')"
"('P60660', 'Q14152')"
"('P60660', 'Q9Y5A9')"
"('P60660', 'P06753')"
"('P60660', 'O15260')"
"('P60660', 'Q9P035')"
"('P60660', 'Q96CW1')"
"('P60660', 'P53621')"
"('P60660', 'Q9H0A0')"
"('P60660', 'P40227')"
"('P60660', 'Q9H078')"
"('P60660', 'P38646')"
"('P60660', 'P46783')"
"('P60660', 'Q14498')"
"('P60660', 'P09874')"
"('P60660', 'P08621')"
"('P60660', 'O94905')"
"('P60660', 'P25398')"
"('P60660', 'P30153')"
"('P60660', 'O95071')"
"('P60660', 'P27348')"
"('P60660', 'O43823')"
"('P60660', 'Q9UKD2')"
"('P60660', 'Q13200')"
"('P60660', 'Q15366')"
"('P60660', 'Q99460')"
"('P60660', 'Q9Y262')"
"('P60660', 'P25205')"
"('P60660', 'Q99832')"
"('P60660', 'Q9Y3U8')"
"('P60660', 'O75964')"
"('P60660', 'P16615')"
"('P60660', 'P62263')"
"('P60660', 'P55884')"
"('P60660', 'P06733')"
"('P60660', 'Q8N5C6')"
"('P60660', 'Q07065')"
"('P60660', 'P53618')"
"('P60660', 'P17987')"
"('P60660', 'P63244')"
"('P60660', 'P12268')"
"('P60660', 'P05023')"
"('P60660', 'P42285')"
"('P60660', 'P09012')"
"('P60660', 'Q96CS3')"
"('P60660', 'P47756')"
"('P60660', 'O60884')"
"('P60660', 'P0DMV8')"
"('P60660', 'O00231')"
"('P60660', 'O95816')"
"('P60660', 'P12004')"
"('P60660', 'P68104')"
"('P60660', 'Q3ZCQ8')"
"('P60660', 'P60468')"
"('P60660', 'P60228')"
"('P60660', 'Q15370')"
"('P60660', 'P49368')"
"('P60660', 'P03470')"
"('P60660', 'Q8IV08')"
"('P60660', 'Q9H0D6')"
"('P60660', 'Q99470')"
"('P60660', 'P07195')"
"('P60660', 'Q2NL82')"
"('P60660', 'P62979')"
"('P60660', 'Q5SWX8')"
"('P60660', 'P16989')"
"('P60660', 'Q92945')"
"('P60660', 'P30101')"
"('P60660', 'P53396')"
"('P60660', 'Q9BUJ2')"
"('P60660', 'P67936')"
"('P60660', 'P52907')"
"('P60660', 'O15372')"
"('P60660', 'Q9Y399')"
"('P60660', 'P05556')"
"('P60660', 'Q6NZI2')"
"('P60660', 'P40939')"
"('P60660', 'Q9ULT8')"
"('P60660', 'P03431')"
"('P60660', 'Q1K9H5')"
"('P60660', 'P05780')"
"('P60660', 'P06821')"
"('P60660', 'Q3KQU3')"
"('P60660', 'Q99959')"
"('P60660', 'Q9ULX6')"
"('P60660', 'Q9H845')"
"('P60660', 'Q9NVI1')"
"('P60660', 'P46977')"
"('P60660', 'Q1KMD3')"
"('P60660', 'Q9UNE7')"
"('P60660', 'P82675')"
"('P60660', 'Q12789')"
"('P60660', 'P61962')"
"('P60660', 'Q99081')"
"('P60660', 'Q14318')"
"('P60660', 'O15027')"
"('P60660', 'P46013')"
"('P60660', 'Q9NXS2')"
"('P60660', 'P51570')"
"('P60660', 'P51617')"
"('P60660', 'O00165')"
